crop,task,model,support_positive,support_total,accuracy,precision,recall,f1_score,tn,fp,fn,tp
green_onion,direction_up,naive_lag1,807,1586,0.5088272383354351,0.5088272383354351,1.0,0.6744671959882992,0,779,0,807
green_onion,direction_up,seasonal_naive_lag7,807,1586,0.5996216897856242,0.5955555555555555,0.6641883519206939,0.6280023432923257,415,364,271,536
green_onion,direction_up,moving_average_7,807,1586,0.5907944514501892,0.5901826484018264,0.6406443618339529,0.6143790849673203,420,359,290,517
green_onion,direction_up,moving_average_14,807,1586,0.5403530895334174,0.5438202247191011,0.5997521685254027,0.5704183853859752,373,406,323,484
green_onion,direction_up,ridge,807,1586,0.592686002522068,0.5837669094693028,0.6951672862453532,0.6346153846153846,379,400,246,561
green_onion,direction_up,random_forest,807,1586,0.6399747793190416,0.6408114558472554,0.6654275092936803,0.652887537993921,478,301,270,537
green_onion,direction_up,xgboost,807,1586,0.6380832282471627,0.6276013143483024,0.7100371747211895,0.6662790697674419,439,340,234,573
green_onion,direction_up,lightgbm,807,1586,0.6651954602774275,0.6506550218340611,0.7385377942998761,0.6918165989553106,459,320,211,596
green_onion,direction_up,sarima_weekly,807,1586,0.5119798234552333,0.5104761904761905,0.9962825278810409,0.6750629722921915,8,771,3,804
green_onion,rise_ge_5pct,naive_lag1,438,1586,0.7238335435056746,0.0,0.0,0.0,1148,0,438,0
green_onion,rise_ge_5pct,seasonal_naive_lag7,438,1586,0.6361916771752837,0.39191290824261277,0.5753424657534246,0.4662349676225717,757,391,186,252
green_onion,rise_ge_5pct,moving_average_7,438,1586,0.6828499369482977,0.43761996161228406,0.5205479452054794,0.4754953076120959,855,293,210,228
green_onion,rise_ge_5pct,moving_average_14,438,1586,0.6261034047919294,0.3779527559055118,0.547945205479452,0.4473438956197577,753,395,198,240
green_onion,rise_ge_5pct,ridge,438,1586,0.7087011349306431,0.47115384615384615,0.4474885844748858,0.45901639344262296,928,220,242,196
green_onion,rise_ge_5pct,random_forest,438,1586,0.7263556116015133,0.5056497175141242,0.408675799086758,0.45202020202020204,973,175,259,179
green_onion,rise_ge_5pct,xgboost,438,1586,0.71437578814628,0.4840764331210191,0.5205479452054794,0.5016501650165016,905,243,210,228
green_onion,rise_ge_5pct,lightgbm,438,1586,0.71437578814628,0.48484848484848486,0.547945205479452,0.5144694533762058,893,255,198,240
green_onion,rise_ge_5pct,sarima_weekly,438,1586,0.28058007566204285,0.27625716104392106,0.9908675799086758,0.43205574912891986,11,1137,4,434
green_onion,rise_ge_10pct,naive_lag1,261,1586,0.8354350567465322,0.0,0.0,0.0,1325,0,261,0
green_onion,rise_ge_10pct,seasonal_naive_lag7,261,1586,0.7162673392181589,0.2950108459869848,0.5210727969348659,0.3767313019390582,1000,325,125,136
green_onion,rise_ge_10pct,moving_average_7,261,1586,0.8026481715006305,0.40370370370370373,0.41762452107279696,0.4105461393596987,1164,161,152,109
green_onion,rise_ge_10pct,moving_average_14,261,1586,0.7295081967213115,0.291044776119403,0.4482758620689655,0.35294117647058826,1040,285,144,117
green_onion,rise_ge_10pct,ridge,261,1586,0.8398486759142497,0.5174129353233831,0.39846743295019155,0.45021645021645024,1228,97,157,104
green_onion,rise_ge_10pct,random_forest,261,1586,0.832282471626734,0.48756218905472637,0.37547892720306514,0.42424242424242425,1222,103,163,98
green_onion,rise_ge_10pct,xgboost,261,1586,0.8272383354350568,0.47509578544061304,0.47509578544061304,0.47509578544061304,1188,137,137,124
green_onion,rise_ge_10pct,lightgbm,261,1586,0.8215636822194199,0.4612676056338028,0.5019157088122606,0.48073394495412847,1172,153,130,131
green_onion,rise_ge_10pct,sarima_weekly,261,1586,0.17402269861286254,0.16485623003194888,0.9885057471264368,0.28258488499452356,18,1307,3,258
