crop,model,n_test_base,MAE_base,RMSE_base,MAPE_percent_base,R2_base,n_test_weather,MAE_weather,RMSE_weather,MAPE_percent_weather,R2_weather,MAE_delta,RMSE_delta,MAPE_percent_delta,R2_delta,RMSE_improvement_percent,MAPE_improvement_percent
bok_choy,ridge,1543,2.661288603776262,4.147425853487526,10.426713847764274,0.9189192480140256,1543,2.4784827327093377,3.89548400210958,9.91402890594031,0.9284708017732912,-0.18280587106692447,-0.25194185137794634,-0.5126849418239647,0.00955155375926564,6.074655949933164,4.917032818867433
bok_choy,xgboost,1543,2.262870314283159,3.9582972847341473,8.326554986722147,0.9261454385488386,1543,2.303385869325322,4.1502722560537215,8.370089280950161,0.918807917437224,0.040515555042162976,0.1919749713195742,0.04353429422801369,-0.0073375211116145644,-4.849938180741467,-0.5228368070280589
bok_choy,lightgbm,1543,2.2622843518759046,3.999579073841728,8.199555787960183,0.9245969207381148,1543,2.333940703532932,4.179120242020944,8.445505037335241,0.9176752841206596,0.07165635165702744,0.17954116817921584,0.2459492493750588,-0.006921636617455262,-4.4890015890287325,-2.999543581814497
bok_choy,naive_lag1,1543,2.7162588774878107,4.27984525670963,10.086054185086082,0.9136590862662868,1543,2.7162588774878107,4.27984525670963,10.086054185086082,0.9136590862662868,0.0,0.0,0.0,0.0,0.0,0.0
bok_choy,random_forest,1543,2.580474239533759,4.462595100045283,9.421316909168205,0.9061281287403125,1543,2.6425998008151987,4.632567265125586,9.627457007408582,0.8988411287387881,0.062125561281439534,0.16997216508030366,0.20614009824037716,-0.00728700000152438,-3.808818888332014,-2.188017877201171
bok_choy,moving_average_7,1543,4.956488909886788,7.906262787540883,17.945342627377894,0.7053523393723812,1543,4.956488909886788,7.906262787540883,17.945342627377894,0.7053523393723812,0.0,0.0,0.0,0.0,0.0,0.0
bok_choy,moving_average_14,1543,6.603855430419514,10.189539935648323,24.812602981192686,0.510593584261626,1543,6.603855430419514,10.189539935648323,24.81260298119269,0.510593584261626,0.0,0.0,3.552713678800501e-15,0.0,0.0,-1.4318182100819357e-14
bok_choy,seasonal_naive_lag7,1543,7.779378263048864,12.473919455682454,28.3281818019935,0.2665569835905482,1543,7.779378263048864,12.473919455682454,28.32818180199351,0.2665569835905482,0.0,0.0,7.105427357601002e-15,0.0,0.0,-2.5082539385217377e-14
bok_choy,sarima_weekly,1543,17.40297163304515,22.958882664599106,60.78881111885362,-1.4846315968542632,1543,17.402627680307756,22.958591696723985,60.78705676614335,-1.4845686196261787,-0.00034395273739562526,-0.00029096787512017386,-0.0017543527102716894,6.297722808445982e-05,0.001267343360610596,0.0028859796366828066
cabbage,xgboost,1548,1.415772058465922,2.1090203746087552,7.525232619583977,0.9537641430739464,1548,1.451198711592456,2.189483200422296,7.68256587799897,0.9501688861325706,0.03542665312653415,0.08046282581354092,0.1573332584149929,-0.0035952569413758573,-3.815175366831987,-2.0907427898712703
