crop,horizon,model,n_test,MAE,RMSE,MAPE_percent,R2
bok_choy,1,ridge,1543,2.52905815163407,3.8383439131689454,10.059594914393363,0.9305538336844942
bok_choy,1,random_forest,1543,2.6997142498858504,4.6983164197864165,9.896424221709843,0.8959492940966975
bok_choy,1,lightgbm,1543,2.691237961789782,4.828920095375169,9.69518972816419,0.8900840937300584
bok_choy,1,xgboost,1543,2.6625342403097356,5.013356409671981,9.6393060686886,0.8815274686462238
bok_choy,5,ridge,1543,5.391802487071194,8.092042037392043,21.155346827144818,0.6913425476423445
bok_choy,5,xgboost,1543,5.516793815543856,8.749327329554758,20.273764679340793,0.639164019768935
bok_choy,5,lightgbm,1543,5.683234429681452,8.9197954916753,20.987275138373242,0.6249662942675032
bok_choy,5,random_forest,1543,5.745807680487623,8.971387468057927,21.68140576001584,0.6206153679478559
bok_choy,7,ridge,1543,5.98988565368753,9.098865876055443,23.311261429659325,0.6097570793761701
bok_choy,7,xgboost,1543,6.140577589821688,9.447662818208617,22.89904490000669,0.5792643842606096
bok_choy,7,random_forest,1543,6.3339716228309015,9.58881483545515,24.22393104191363,0.5665985386682306
bok_choy,7,lightgbm,1543,6.348688071582373,9.716561787475783,23.849776932238285,0.5549736358164449
bok_choy,14,ridge,1543,7.882965107313484,12.494135926831197,28.831500603215076,0.2641776760766861
bok_choy,14,xgboost,1543,8.411524491713557,12.615025398982109,32.145319011438716,0.24986960150059134
bok_choy,14,random_forest,1543,8.530013964332278,12.710653642011712,33.89436452083575,0.23845376389881712
bok_choy,14,lightgbm,1543,8.557045698140513,12.723347934469855,33.18840510495562,0.23693187236793023
cabbage,1,xgboost,1548,1.4297162398053376,2.1963513600770983,7.613583966734843,0.949855766723991
cabbage,1,ridge,1548,1.5503644588553955,2.281468010410228,9.018171562289455,0.9458939128317101
cabbage,1,lightgbm,1548,1.4905885063540565,2.3341032393829932,7.792227023379869,0.9433685758628757
cabbage,1,random_forest,1548,1.5393514115086118,2.375135814016394,8.15259272603461,0.9413599601048371
cabbage,5,ridge,1548,2.6793519293375736,3.7759850118309934,14.541381615360544,0.8517898714351139
cabbage,5,lightgbm,1548,2.75163232724185,3.847639972453514,14.96293406218637,0.8461114823552655
cabbage,5,xgboost,1548,2.8108058946991243,3.943063585706448,15.32569346430403,0.8383837887011482
cabbage,5,random_forest,1548,2.8632112560856333,4.061244521131274,15.142510197275966,0.8285507311487592
cabbage,7,ridge,1548,3.0109636769782195,4.145618488374198,17.05399680498153,0.8213528774573338
cabbage,7,lightgbm,1548,3.165825191216261,4.287963649856856,17.537471998919305,0.8088740968604822
cabbage,7,xgboost,1548,3.134843869004035,4.336418276138671,17.109538627488842,0.8045301891522552
cabbage,7,random_forest,1548,3.13461714421232,4.358134724056466,16.935415748750593,0.802567491466528
cabbage,14,ridge,1548,4.0078028652370605,5.26284837809943,24.166865195931823,0.712088457062493
cabbage,14,random_forest,1548,4.094510592415531,5.651614854008913,22.87147216193964,0.6679813523707461
cabbage,14,xgboost,1548,4.344187345831665,5.674427790623993,26.083202668403665,0.6652955333398961
cabbage,14,lightgbm,1548,4.382061932405619,5.853137744112189,25.273325201592815,0.6438812422359117
cauliflower,1,ridge,1548,4.14874760720147,6.843061646184264,11.201910386307242,0.7891703587863024
cauliflower,1,xgboost,1548,4.12087279135795,7.079278798401795,10.615267479790983,0.774363789481334
cauliflower,1,lightgbm,1548,4.132579829058081,7.1260046943380955,10.56611257814523,0.7713753923720923
cauliflower,1,random_forest,1548,4.2125050931912815,7.410332327079649,10.834614964114014,0.7527671729899119
cauliflower,5,ridge,1548,5.491111939243939,7.842067615746587,15.94450899415008,0.7231197808638746
cauliflower,5,random_forest,1548,5.781783187485151,8.362269412933427,16.115098516495923,0.6851678496225118
cauliflower,5,lightgbm,1548,5.995052100482122,8.6034822632462,16.84451537830465,0.6667429847458427
cauliflower,5,xgboost,1548,6.024507273426022,8.607855827333948,17.049748559942536,0.6664040774677638
cauliflower,7,ridge,1548,5.796481350401548,8.051842521203577,17.073480563379242,0.7081085932761574
cauliflower,7,random_forest,1548,6.120134035864653,8.465596408060774,17.686335797938536,0.6773394388635041
cauliflower,7,xgboost,1548,6.25216851247198,8.668018229905854,18.12609161713474,0.6617246150288449
cauliflower,7,lightgbm,1548,6.321356386060389,8.716471776365598,18.388798003192065,0.6579321787759569
cauliflower,14,ridge,1548,6.778812523429468,9.263585033026194,20.273422761164948,0.6136428536680345
cauliflower,14,xgboost,1548,7.511158677568328,10.323568806844861,21.847821557896932,0.5201665961364194
cauliflower,14,random_forest,1548,7.573461071885807,10.375157858133688,21.774598438070974,0.5153589561813826
cauliflower,14,lightgbm,1548,7.702845139297536,10.56128328439133,22.549105104825934,0.4978145234414497
green_onion,1,ridge,1587,6.009363173874858,10.427510321421135,7.888533531702895,0.9587493503241299
green_onion,1,random_forest,1587,6.634716105101752,13.805248558524173,7.695596297634285,0.9276967204159446
green_onion,1,xgboost,1587,6.861331704335617,13.815533619178227,8.183086239270777,0.9275889468218431
green_onion,1,lightgbm,1587,7.140436687179841,14.33917004479232,8.393279725804842,0.9219958756423001
green_onion,5,ridge,1587,9.385710241791566,17.027598654188306,12.290516606121539,0.8900041382745222
green_onion,5,xgboost,1587,10.154567994686198,18.56486137891524,12.276374862883573,0.8692466099737078
green_onion,5,random_forest,1587,10.283669321526851,18.676073612237154,12.423234180182806,0.8676753694395806
green_onion,5,lightgbm,1587,10.830639131839238,19.52305904918499,12.97863982177621,0.855401005920427
green_onion,7,ridge,1587,10.347161913931638,18.4036669088874,13.376096608258031,0.8715073563141058
green_onion,7,random_forest,1587,10.933170964374645,19.948123589210393,12.997465524485325,0.8490359158803367
